Nameplate,Technology,Latitude,Longitude,State,Plant_ID,Year
5.9,Hydroelectric,37.766954,-119.12328400000001,CA,357,2018
164.6,Natural Gas,34.0818,-117.2418,CA,358,2018
0.8,Hydroelectric,34.14522,-117.058481,CA,361,2018
3.1,Hydroelectric,34.107245,-117.09909099999999,CA,363,2018
1.3,Hydroelectric,36.13568,-118.788868,CA,365,2018
1200.0,Nuclear,46.4711,-119.3339,WA,371,2018
7.5,Hydroelectric,38.2569,-120.8507,CA,376,2018
20.0,Natural Gas,34.1556,-118.2782,CA,377,2018
23.0,Other,34.1556,-118.2782,CA,377,2018
0.7,Hydroelectric,47.287206,-93.498266,MN,378,2018
78.4,Hydroelectric,37.896649,-119.9675,CA,380,2018
50.0,Hydroelectric,37.809388,-120.299254,CA,381,2018
39.5,Hydroelectric,37.877666999999995,-119.95323300000001,CA,382,2018
660.0,Natural Gas,41.494636,-88.123827,IL,384,2018
5.0,Hydroelectric,32.705434999999994,-115.030975,CA,385,2018
4.8,Hydroelectric,32.705428000000005,-115.126103,CA,386,2018
10.0,Hydroelectric,32.705341,-115.219067,CA,387,2018
16.5,Hydroelectric,32.736641999999996,-114.713858,CA,388,2018
34.5,Natural Gas,32.802222,-115.54,CA,389,2018
30.0,Other,32.802222,-115.54,CA,389,2018
6.0,Hydroelectric,61.0828,-146.3033,AK,390,2018
3.2,Hydroelectric,37.142795,-118.324075,CA,391,2018
271.0,Hydroelectric,34.587237,-118.65663799999999,CA,392,2018
37.5,Hydroelectric,37.437921,-118.55698799999999,CA,393,2018
0.8,Hydroelectric,36.443421,-118.04388999999999,CA,394,2018
10.1,Hydroelectric,34.318248,-118.494449,CA,396,2018
2.0,Hydroelectric,34.103931,-118.413377,CA,397,2018
2.8,Hydroelectric,36.109722,-117.956667,CA,398,2018
85.3,Natural Gas,33.7706,-118.2656,CA,399,2018
230.0,Natural Gas,33.764741,-118.09913,CA,400,2018
37.5,Hydroelectric,37.51,-118.569167,CA,401,2018
3.2,Hydroelectric,37.414159999999995,-118.52388899999998,CA,402,2018
2.8,Hydroelectric,34.312778,-118.492778,CA,403,2018
163.2,Natural Gas,33.918151,-118.427648,CA,404,2018
1.3,Other,63.335519999999995,-142.99997,AK,406,2018
37.5,Hydroelectric,37.546036,-118.590001,CA,407,2018
60.5,Natural Gas,34.244991,-118.391327,CA,408,2018
94.5,Hydroelectric,37.584345,-120.26858999999999,CA,409,2018
9.0,Hydroelectric,37.522065000000005,-120.31008999999999,CA,410,2018
44.0,Hydroelectric,39.177903,-120.890856,CA,412,2018
27.3,Hydroelectric,39.2184,-120.8352,CA,413,2018
10.0,Hydroelectric,38.202569,-120.07698300000001,CA,414,2018
72.0,Hydroelectric,38.246656,-120.034072,CA,415,2018
8.5,Hydroelectric,37.876111,-120.605,CA,416,2018
41.9,Hydroelectric,39.551012,-121.278784,CA,417,2018
10.0,Hydroelectric,39.531784,-121.491247,CA,418,2018
67.2,Hydroelectric,39.553810999999996,-121.204077,CA,419,2018
0.6,Other,55.47691,-133.14869,AK,421,2018
28.8,Natural Gas,34.126,-118.1494,CA,422,2018
0.4,Other,55.204937,-132.821435,AK,423,2018
15.3,Hydroelectric,39.077971000000005,-120.40606899999999,CA,424,2018
61.2,Hydroelectric,39.024801000000004,-120.596383,CA,425,2018
6.1,Hydroelectric,39.003372,-120.746651,CA,426,2018
79.2,Hydroelectric,39.000999,-120.725053,CA,427,2018
2.7,Hydroelectric,37.477838,-120.444492,CA,428,2018
78.9,Hydroelectric,38.82881,-120.537089,CA,430,2018
80.8,Hydroelectric,38.83405,-120.53176,CA,431,2018
74.1,Hydroelectric,38.982696999999995,-120.324503,CA,432,2018
25.5,Hydroelectric,38.896511,-120.37829199999999,CA,433,2018
133.0,Hydroelectric,38.765336,-120.78736599999999,CA,435,2018
59.8,Hydroelectric,34.2056,-117.3344,CA,436,2018
