Plant_ID,Nameplate,Technology,Latitude,Longitude,State,Year
3178,163.2,Coal,40.929167,-79.465556,PA,2001
3179,576.0,Coal,39.855556,-79.9275,PA,2001
3181,299.2,Coal,40.221111,-79.968333,PA,2001
3251,206.6,Coal,34.4017,-80.1589,SC,2001
3264,90.0,Coal,34.6022,-82.435,SC,2001
3280,136.0,Coal,33.0647,-80.6228,SC,2001
3287,146.8,Coal,34.0556,-81.2172,SC,2001
3295,75.0,Coal,33.435,-81.9111,SC,2001
3297,385.9,Coal,33.8264,-80.6228,SC,2001
3298,632.7,Coal,33.0158,-79.9297,SC,2001
3317,81.6,Coal,33.8264,-79.0533,SC,2001
3319,172.8,Coal,33.2422,-79.9875,SC,2001
3325,25.0,Coal,44.087235,-103.260959,SD,2001
3393,330.0,Coal,35.074087,-90.14868,TN,2001
3396,950.0,Coal,36.0211,-84.1567,TN,2001
3399,1300.0,Coal,36.3903,-87.6539,TN,2001
3403,300.0,Coal,36.3156,-86.4006,TN,2001
3405,200.0,Coal,36.3767,-82.9639,TN,2001
3406,125.0,Coal,36.0278,-87.9861,TN,2001
3407,175.0,Coal,35.8992,-84.5194,TN,2001
3419,60.0,Coal,35.601991600000005,-84.7889399,TN,2001
3470,734.1,Coal,29.4828,-95.6311,TX,2001
3497,593.4,Coal,31.8206,-96.0544,TX,2001
3644,75.0,Coal,39.7272,-110.8644,UT,2001
3686,7.5,Coal,40.242907,-111.663094,UT,2001
3775,237.5,Coal,36.9333,-82.1997,VA,2001
3776,100.0,Coal,37.3706,-80.8633,VA,2001
3788,92.0,Coal,38.8203,-77.0411,VA,2001
3796,69.0,Coal,37.7089,-78.2878,VA,2001
3797,112.5,Coal,37.3822,-77.3833,VA,2001
3803,112.5,Coal,36.7711,-76.3019,VA,2001
3804,113.6,Coal,38.5367,-77.2806,VA,2001
3809,187.5,Coal,37.2144,-76.4611,VA,2001
3845,729.9,Coal,46.755938,-122.85976399999998,WA,2001
3935,816.3,Coal,38.4731,-81.8233,WV,2001
3936,219.6,Coal,38.2056,-81.4211,WV,2001
3938,152.5,Coal,38.9669,-81.9231,WV,2001
3942,69.0,Coal,39.488611,-79.636944,WV,2001
3943,576.0,Coal,39.710833,-79.9275,WV,2001
3944,684.0,Coal,39.384167,-80.3325,WV,2001
3945,35.0,Coal,39.531389000000004,-80.113056,WV,2001
3946,50.0,Coal,39.367222,-81.3,WV,2001
3947,237.5,Coal,39.8461,-80.8186,WV,2001
3948,816.3,Coal,39.8297,-80.8153,WV,2001
3954,570.2,Coal,39.2008,-79.2636,WV,2001
3982,20.0,Coal,46.587222,-90.9017,WI,2001
3992,10.0,Coal,43.0789,-89.3744,WI,2001
4040,80.0,Coal,43.3842,-87.8689,WI,2001
4041,275.0,Coal,42.8457,-87.8294,WI,2001
4042,136.0,Coal,43.0303,-87.9233,WI,2001
4050,60.0,Coal,43.715142,-87.705863,WI,2001
4054,100.0,Coal,42.7225,-91.0085,WI,2001
4072,30.0,Coal,44.54,-88.0086,WI,2001
4078,60.0,Coal,44.8606,-89.6553,WI,2001
4125,5.0,Coal,44.082,-87.6558,WI,2001
4127,7.5,Coal,44.20002,-88.458171,WI,2001
4140,15.0,Coal,44.308333000000005,-91.911111,WI,2001
4143,345.6,Coal,43.5589,-91.2325,WI,2001
4146,18.0,Coal,42.708259999999996,-90.98474,WI,2001
4150,21.7,Coal,44.2872,-105.3878,WY,2001
4151,11.5,Coal,43.9703,-104.4106,WY,2001
4158,113.6,Coal,42.8378,-105.7769,WY,2001
4162,163.2,Coal,41.7581,-110.5983,WY,2001
4259,55.0,Coal,42.0317,-84.755,MI,2001
