Nameplate,Technology,Latitude,Longitude,State,Plant_ID
1138.3,Nuclear,40.1719,-88.8339,IL,204
1267.7,Nuclear,38.23926,-95.68978,KS,210
1,Hydroelectric,39.215979,-120.80355,CA,214
1.4,Hydroelectric,38.071944,-120.539444,CA,215
31,Hydroelectric,36.909137,-119.087712,CA,217
48.6,Hydroelectric,36.908907,-119.087556,CA,218
48.6,Hydroelectric,36.908907,-119.087556,CA,218
117.9,Hydroelectric,40.007445,-121.249438,CA,219
33,Hydroelectric,39.91062,-121.327692,CA,220
33,Hydroelectric,39.91062,-121.327692,CA,220
40,Hydroelectric,40.175656,-121.190663,CA,221
23.8,Hydroelectric,40.085476,-121.148241,CA,222
25,Hydroelectric,40.085476,-121.148241,CA,222
25,Hydroelectric,40.085476,-121.148241,CA,222
60.3,Hydroelectric,40.085997,-121.149373,CA,223
57.6,Hydroelectric,40.085997,-121.149373,CA,223
5.5,Hydroelectric,39.788877,-121.657383,CA,224
0.9,Hydroelectric,39.788877,-121.657383,CA,224
7,Hydroelectric,38.771764,-120.813239,CA,225
12.1,Hydroelectric,40.404645,-122.121904,CA,227
0.7,Hydroelectric,40.570817,-122.02093,CA,229
0.7,Hydroelectric,40.570817,-122.02093,CA,229
36.9,Hydroelectric,39.825907,-121.409687,CA,231
36.9,Hydroelectric,39.825907,-121.409687,CA,231
18.4,Hydroelectric,39.869265,-121.631819,CA,232
5.5,Hydroelectric,39.29807,-120.8443,CA,233
12,Hydroelectric,39.256873,-120.767437,CA,235
12,Hydroelectric,39.256873,-120.767437,CA,235
12,Hydroelectric,39.256873,-120.767437,CA,235
13.2,Hydroelectric,39.256873,-120.767437,CA,235
53.1,Hydroelectric,39.257388,-120.767046,CA,236
22,Hydroelectric,39.216985,-120.835587,CA,237
10,Hydroelectric,38.793574,-120.619152,CA,238
10,Hydroelectric,38.793574,-120.619152,CA,238
32.3,Hydroelectric,38.330985,-120.669901,CA,239
35.1,Hydroelectric,38.330985,-120.669901,CA,239
35.1,Hydroelectric,38.330985,-120.669901,CA,239
67.5,Hydroelectric,36.927424,-119.02025,CA,240
67.5,Hydroelectric,36.927424,-119.02025,CA,240
13.6,Hydroelectric,38.956985,-121.041932,CA,241
2.6,Hydroelectric,40.268712,-121.089479,CA,242
2.7,Hydroelectric,40.268712,-121.089479,CA,242
10,Hydroelectric,40.929297,-121.544462,CA,243
10,Hydroelectric,40.960675,-121.548657,CA,244
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
16.7,Natural Gas,40.7415,-124.2103,CA,246
7.6,Hydroelectric,40.400988,-121.965502,CA,248
85.1,Hydroelectric,40.992295,-121.975182,CA,249
83.5,Hydroelectric,40.992295,-121.975182,CA,249
11.3,Hydroelectric,37.092486,-119.552826,CA,250
11.3,Hydroelectric,37.092486,-119.552826,CA,250
1.5,Hydroelectric,40.677827,-121.873253,CA,253
48.6,Hydroelectric,36.888166,-119.158777,CA,254
1,Hydroelectric,39.698755,-121.57096,CA,255
1,Hydroelectric,39.698755,-121.57096,CA,255
3.4,Hydroelectric,37.52301,-120.329905,CA,258
233,Natural Gas,36.804837,-121.782241,CA,260
233,Natural Gas,36.804837,-121.782241,CA,260
