Nameplate,Technology,Latitude,Longitude,PLNTCODE,State
1.1,Hydroelectric,37.611461,-120.594678,161,CA
1.1,Hydroelectric,37.611461,-120.594678,161,CA
0.5,Hydroelectric,37.621536,-120.746247,162,CA
0.5,Hydroelectric,37.621536,-120.746247,162,CA
2.7,Other,24.7056097,-81.3758561,164,FL
490,Coal,36.190278,-95.2894,165,OK
520,Coal,36.190278,-95.2894,165,OK
28,Hydroelectric,34.4425,-93.0262,166,AR
28,Hydroelectric,34.4425,-93.0262,166,AR
69,Natural Gas,34.7535,-92.1987,167,AR
156.2,Natural Gas,34.7535,-92.1987,167,AR
5.8,Other,34.7535,-92.1987,167,AR
69,Natural Gas,34.9806,-90.8722,168,AR
69,Natural Gas,34.9806,-90.8722,168,AR
26.5,Natural Gas,33.3592,-93.4649,169,AR
156.2,Natural Gas,33.3592,-93.4649,169,AR
40,Natural Gas,34.4341,-92.9049,170,AR
40,Natural Gas,34.4341,-92.9049,170,AR
119.5,Natural Gas,34.4341,-92.9049,170,AR
552.5,Natural Gas,34.4341,-92.9049,170,AR
19.5,Natural Gas,34.635997,-92.409602,171,AR
19.5,Natural Gas,34.635997,-92.409602,171,AR
19.5,Natural Gas,34.635997,-92.409602,171,AR
19.5,Natural Gas,34.635997,-92.409602,171,AR
1.6,Other,35.6975,-90.0053,172,AR
1.6,Other,35.6975,-90.0053,172,AR
1.6,Other,35.6975,-90.0053,172,AR
1.6,Other,35.6975,-90.0053,172,AR
1.6,Other,35.6975,-90.0053,172,AR
1.6,Other,35.6975,-90.0053,172,AR
359,Natural Gas,34.4629,-90.5987,173,AR
544.6,Natural Gas,34.4629,-90.5987,173,AR
19.5,Natural Gas,34.4629,-90.5987,173,AR
3,Hydroelectric,34.4272,-92.8941,174,AR
3,Hydroelectric,34.4272,-92.8941,174,AR
3,Hydroelectric,34.4272,-92.8941,174,AR
1,Hydroelectric,40.45193,-121.86215,180,CA
1.2,Other,64.8377778,-147.7163888,181,AR
0.7,Other,64.8377778,-147.7163888,181,AR
0.3,Other,64.8377778,-147.7163888,181,AR
0.3,Other,64.8377778,-147.7163888,181,AR
0.1,Other,64.8377778,-147.7163888,181,AR
56,Hydroelectric,36.421507,-93.847373,182,AR
56,Hydroelectric,36.421507,-93.847373,182,AR
40,Hydroelectric,34.211913,-93.110963,187,AR
28,Hydroelectric,34.211913,-93.110963,187,AR
48,Hydroelectric,35.5207,-91.9953,188,AR
48,Hydroelectric,35.5207,-91.9953,188,AR
0.4,Other,36.0573444,-90.4803833,192,AR
1.1,Other,36.0573444,-90.4803833,192,AR
0.8,Other,36.0573444,-90.4803833,192,AR
0.8,Other,36.0573444,-90.4803833,192,AR
1,Other,36.0573444,-90.4803833,192,AR
2,Other,36.3858,-90.1867,193,AR
0.6,Other,36.3858,-90.1867,193,AR
2.2,Other,36.3858,-90.1867,193,AR
1.3,Other,36.3858,-90.1867,193,AR
1.1,Other,36.3858,-90.1867,193,AR
8.5,Hydroelectric,34.148427,-93.715168,195,AR
8.5,Hydroelectric,34.148427,-93.715168,195,AR
8.5,Hydroelectric,34.148427,-93.715168,195,AR
40.2,Hydroelectric,36.2491,-92.2401,196,AR
40.2,Hydroelectric,36.2491,-92.2401,196,AR
37.5,Hydroelectric,34.570984,-93.194425,197,AR
37.5,Hydroelectric,34.570984,-93.194425,197,AR
40,Hydroelectric,36.3635,-92.5763,198,AR
40,Hydroelectric,36.3635,-92.5763,198,AR
40,Hydroelectric,36.3635,-92.5763,198,AR
40,Hydroelectric,36.3635,-92.5763,198,AR
45,Hydroelectric,36.3635,-92.5763,198,AR
45,Hydroelectric,36.3635,-92.5763,198,AR
45,Hydroelectric,36.3635,-92.5763,198,AR
45,Hydroelectric,36.3635,-92.5763,198,AR
40.2,Hydroelectric,35.2503,-93.1686,199,AR
40.2,Hydroelectric,35.2503,-93.1686,199,AR
40.2,Hydroelectric,35.2503,-93.1686,199,AR
40.2,Hydroelectric,35.2503,-93.1686,199,AR
59,Natural Gas,35.462382,-93.804926,201,AR
126,Natural Gas,35.462382,-93.804926,201,AR
120,Natural Gas,35.260102,-91.363426,202,AR
136,Natural Gas,33.5648,-92.7917,203,AR
990,Nuclear,40.1719,-88.8339,204,IL
679,Coal,30.4308,-81.5508,207,FL
679,Coal,30.4308,-81.5508,207,FL
1235.7,Nuclear,38.23926,-95.68978,210,KS
1,Hydroelectric,39.215979,-120.80355,214,CA
1,Hydroelectric,39.215979,-120.80355,214,CA
1.4,Hydroelectric,38.071944,-120.539444,215,CA
31,Hydroelectric,36.909137,-119.087712,217,CA
48.6,Hydroelectric,36.908907,-119.087556,218,CA
48.6,Hydroelectric,36.908907,-119.087556,218,CA
117.9,Hydroelectric,40.007445,-121.249438,219,CA
33,Hydroelectric,39.91062,-121.327692,220,CA
33,Hydroelectric,39.91062,-121.327692,220,CA
40,Hydroelectric,40.175656,-121.190663,221,CA
23.8,Hydroelectric,40.085476,-121.148241,222,CA
